time,id,latitude,longitude,counter
26,512,-22.960569,-43.206589,0
10,512,-22.96034,-43.204342,1
41,512,-22.95949,-43.201069,2
3,512,-22.957621,-43.199081,3
1,512,-22.95569,-43.196388,4
5,512,-22.95536,-43.195789,5
25,512,-22.95443,-43.19286,6
5,512,-22.95307,-43.188931,7
11,512,-22.952959,-43.188622,8
7,512,-22.95188,-43.185631,9
18,512,-22.951389,-43.18454,10
14,512,-22.950991,-43.183281,11
35,512,-22.94981,-43.181419,12
31,512,-22.947599,-43.182129,13
27,512,-22.943529,-43.181141,14
