time,id,latitude,longitude,counter
2,889,-22.904619,-43.380192,0
0,889,-22.905821,-43.379688,1
5,889,-22.910694,-43.378273,2
5,889,-22.914,-43.375763,3
8,889,-22.91452,-43.377556,4
8,889,-22.915596,-43.377304,5
8,889,-22.916172,-43.377495,6
8,889,-22.916298,-43.37793,7
6,889,-22.916298,-43.37793,8
