time,id,latitude,longitude,counter
16,426,-22.950306,-43.176529,0
6,426,-22.950808,-43.18005,1
5,426,-22.945799,-43.182232,2
6,426,-22.945122,-43.182083,3
37,426,-22.944244,-43.181828,4
29,426,-22.942608,-43.181995,5
5,426,-22.942059,-43.182148,6
