time,id,latitude,longitude,counter
10,110,-22.904591,-43.190575,0
8,110,-22.904097,-43.19051,1
6,110,-22.904057,-43.190544,2
10,110,-22.903963,-43.19051,3
5,110,-22.903841,-43.190544,4
