time,id,latitude,longitude,counter
1,422,-22.923943,-43.177799,0
25,422,-22.924776,-43.179428,1
14,422,-22.925875,-43.179329,2
15,422,-22.928761,-43.179279,3
29,422,-22.930351,-43.178955,4
14,422,-22.930725,-43.179085,5
5,422,-22.931084,-43.179314,6
16,422,-22.931461,-43.179459,7
14,422,-22.932478,-43.182209,8
1,422,-22.932751,-43.183285,9
24,422,-22.93276,-43.183285,10
