time,id,latitude,longitude,counter
0,226,-22.919319,-43.221252,0
9,226,-22.915941,-43.217216,1
19,226,-22.913399,-43.215916,2
24,226,-22.904938,-43.189995,3
2,226,-22.904242,-43.187874,4
40,226,-22.903198,-43.184681,5
