id, latitude, longitude, timestamp, executionTime
0, -22.904619, -43.380192, 2020-03-15T17:56:12.375Z, 1498
1, -22.905821, -43.379688, 2020-03-15T17:56:22.402Z, 1883
2, -22.910694, -43.378273, 2020-03-15T17:58:12.511Z, 2917
3, -22.914, -43.375763, 2020-03-15T17:58:52.557Z, 4440
4, -22.91452, -43.377556, 2020-03-15T18:02:12.756Z, 1059
5, -22.915596, -43.377304, 2020-03-15T18:03:12.804Z, 2041
6, -22.916172, -43.377495, 2020-03-15T18:04:12.884Z, 3607
7, -22.916298, -43.37793, 2020-03-15T18:05:12.978Z, 2523
8, -22.916298, -43.37793, 2020-03-15T18:05:22.997Z, 2105
