id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-15T17:51:06.017Z, 2407
1, -22.894, -43.2578, 2020-03-15T17:52:06.095Z, 1536
2, -22.8949, -43.2624, 2020-03-15T17:53:25.178Z, 2692
3, -22.8967, -43.2632, 2020-03-15T17:54:46.264Z, 899
4, -22.899, -43.2636, 2020-03-15T17:55:05.300Z, 2938
5, -22.9007, -43.2666, 2020-03-15T17:56:05.344Z, 1024
6, -22.9018, -43.2692, 2020-03-15T17:57:05.432Z, 2025
7, -22.897, -43.2722, 2020-03-15T17:59:05.578Z, 2276
8, -22.8964, -43.2726, 2020-03-15T18:00:05.642Z, 1819
9, -22.8926, -43.2767, 2020-03-15T18:01:33.714Z, 2824
10, -22.8921, -43.2775, 2020-03-15T18:02:04.751Z, 1897
11, -22.892, -43.2794, 2020-03-15T18:03:04.797Z, 2676
12, -22.8919, -43.2804, 2020-03-15T18:04:04.864Z, 1738
13, -22.8919, -43.2818, 2020-03-15T18:05:04.967Z, 1906
