id, latitude, longitude, timestamp, executionTime
0, -22.960569, -43.206589, 2020-03-15T17:50:46.991Z, 1807
1, -22.96034, -43.204342, 2020-03-15T17:51:47.049Z, 2734
2, -22.95949, -43.201069, 2020-03-15T17:52:47.118Z, 1947
3, -22.957621, -43.199081, 2020-03-15T17:53:47.202Z, 1559
4, -22.95569, -43.196388, 2020-03-15T17:54:47.269Z, 1155
5, -22.95536, -43.195789, 2020-03-15T17:55:47.336Z, 1451
6, -22.95443, -43.19286, 2020-03-15T17:56:47.421Z, 1579
7, -22.95307, -43.188931, 2020-03-15T17:58:17.516Z, 1663
8, -22.952959, -43.188622, 2020-03-15T17:58:47.546Z, 2404
9, -22.95188, -43.185631, 2020-03-15T17:59:47.630Z, 1493
10, -22.951389, -43.18454, 2020-03-15T18:00:47.682Z, 1756
11, -22.950991, -43.183281, 2020-03-15T18:01:47.736Z, 2521
12, -22.94981, -43.181419, 2020-03-15T18:02:47.778Z, 2286
13, -22.947599, -43.182129, 2020-03-15T18:03:47.831Z, 8
14, -22.943529, -43.181141, 2020-03-15T18:04:47.923Z, 1953
