id, latitude, longitude, timestamp, executionTime
0, -22.904619, -43.380192, 2020-03-14T17:20:41.744Z, 2106
1, -22.905821, -43.379688, 2020-03-14T17:20:51.750Z, 1638
2, -22.910694, -43.378273, 2020-03-14T17:22:41.767Z, 2612
3, -22.914, -43.375763, 2020-03-14T17:23:21.777Z, 2542
4, -22.91452, -43.377556, 2020-03-14T17:26:41.811Z, 1564
5, -22.915596, -43.377304, 2020-03-14T17:27:41.817Z, 1592
6, -22.916172, -43.377495, 2020-03-14T17:28:41.829Z, 2001
7, -22.916298, -43.37793, 2020-03-14T17:29:41.843Z, 3638
8, -22.916298, -43.37793, 2020-03-14T17:29:51.850Z, 3021
