id, latitude, longitude, timestamp, executionTime
0, -22.960569, -43.206589, 2020-03-14T17:15:16.690Z, 2403
1, -22.96034, -43.204342, 2020-03-14T17:16:16.697Z, 2930
2, -22.95949, -43.201069, 2020-03-14T17:17:16.706Z, 2556
3, -22.957621, -43.199081, 2020-03-14T17:18:16.718Z, 1485
4, -22.95569, -43.196388, 2020-03-14T17:19:16.728Z, 1808
5, -22.95536, -43.195789, 2020-03-14T17:20:16.738Z, 2041
6, -22.95443, -43.19286, 2020-03-14T17:21:16.751Z, 1530
7, -22.95307, -43.188931, 2020-03-14T17:22:46.769Z, 2357
8, -22.952959, -43.188622, 2020-03-14T17:23:16.774Z, 2471
9, -22.95188, -43.185631, 2020-03-14T17:24:16.793Z, 1955
10, -22.951389, -43.18454, 2020-03-14T17:25:16.802Z, 540
11, -22.950991, -43.183281, 2020-03-14T17:26:16.807Z, 2513
12, -22.94981, -43.181419, 2020-03-14T17:27:16.812Z, 1522
13, -22.947599, -43.182129, 2020-03-14T17:28:16.822Z, 2985
14, -22.943529, -43.181141, 2020-03-14T17:29:16.836Z, 1155
