id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-14T17:15:35.693Z, 2701
1, -22.894, -43.2578, 2020-03-14T17:16:35.704Z, 4342
2, -22.8949, -43.2624, 2020-03-14T17:17:54.714Z, 1319
3, -22.8967, -43.2632, 2020-03-14T17:19:15.726Z, 460
4, -22.899, -43.2636, 2020-03-14T17:19:34.734Z, 3082
5, -22.9007, -43.2666, 2020-03-14T17:20:34.739Z, 1629
6, -22.9018, -43.2692, 2020-03-14T17:21:34.754Z, 1946
7, -22.897, -43.2722, 2020-03-14T17:23:34.781Z, 1690
8, -22.8964, -43.2726, 2020-03-14T17:24:34.798Z, 2029
9, -22.8926, -43.2767, 2020-03-14T17:26:02.806Z, 3753
10, -22.8921, -43.2775, 2020-03-14T17:26:33.809Z, 1884
11, -22.892, -43.2794, 2020-03-14T17:27:33.815Z, 1696
12, -22.8919, -43.2804, 2020-03-14T17:28:33.828Z, 2598
13, -22.8919, -43.2818, 2020-03-14T17:29:33.841Z, 2504
